date/time,Bookie,Market,T1,T2,To Win,Av. Chance (split),Av Chance (previous 8),Av Chance (previous 4),Bookie Odds,EV,Amount Bet,Did Win,Profit,Net Profit,
2018/09/09,365,FD,100,TSM,TSM,51,68,62,1.83,1.25,30,0,0,-30,
2018/09/10,365,FB,Fnatic,Schalke 04,Schalke 04,44,62,62,2.0,1.25,50,1,100,50,
2018/09/10,365,FB,Fnatic,Schalke 04,Schalke 04,44,62,62,2.0,1.25,50,1,100,50,
2018/09/10,365,FB,Fnatic,Schalke 04,Schalke 04,44,62,62,2.0,1.25,50,1,100,50,
2018/09/10,365,FT,Fnatic,Schalke 04,Schalke 04,46,56,62,2.2,1.2,70,1,154,84,
2018/09/10,365,FT,Fnatic,Schalke 04,Schalke 04,46,56,62,2.2,1.2,70,0,0,-70,
2018/09/10,365,FT,Fnatic,Schalke 04,Schalke 04,46,56,62,2.2,1.2,70,0,0,-70,
2018/09/10,365,FT,C9,TL,C9,64,68,75,1.83,1.3,100,0,0,-100,
2018/09/10,365,FT,C9,TL,C9,64,68,75,1.83,1.3,100,0,0,-100,
2018/09/10,365,FT,C9,TL,C9,64,68,75,1.83,1.3,100,1,183,83,
2018/09/14,365,FB,Gen.G,Griffin,Griffin,57,65,68,1.72,1.1,40,0,0,-40,
2018/09/14,365,FB,Gen.G,Griffin,Griffin,57,65,68,1.72,1.1,40,0,0,-40,
2018/09/14,365,FB,Gen.G,Griffin,Griffin,57,65,68,1.72,1.1,40,0,0,-40,
2018/09/14,365,FT,Gen.G,Griffin,Gen.G,57,65,68,1.72,1.1,40,0,0,-40,
2018/09/14,365,FT,Gen.G,Griffin,Gen.G,57,65,68,1.72,1.1,40,0,0,-40,
2018/09/14,365,FT,Gen.G,Griffin,Gen.G,50,50,50,2.1,1.05,40,1,84,44,
2018/09/14,365,< 12.5,N/A,N/A,,70,,,1.66,1.16,15,1,24.9,9.9,
2018/09/14,365,< 12.5,N/A,N/A,,70,,,1.66,1.16,15,0,0,-15,
2018/09/14,365,< 12.5,N/A,N/A,,70,,,1.66,1.16,15,0,0,-15,
2018/09/15,365,FT,Misfits,Splyce,Misfits,,,60,1.8,1.15,60,1,108,48,
2018/09/15,365,FT,Misfits,Splyce,Misfits,,,60,1.8,1.15,60,1,108,48,
2018/09/15,365,FT,Misfits,Splyce,Misfits,,,60,1.8,1.15,60,1,108,48,
2018/09/15,365,<1.5 Baron,Misfits,Splyce,,,,68,1.61,1.1,30,0,0,-30,
2018/09/15,365,<1.5 Baron,Misfits,Splyce,,,,68,1.61,1.1,30,0,0,-30,
2018/09/15,365,<1.5 Baron,Misfits,Splyce,,,,68,1.61,1.1,30,0,0,-30,
2018/09/15,365,FT,Clutch,Echo Fox,Echo Fox,,,68,1.57,1.06,60,1,94.2,34.2,
2018/09/15,365,FT,Clutch,Echo Fox,Echo Fox,,,68,1.57,1.06,60,1,94.2,34.2,
2018/09/15,365,FT,Clutch,Echo Fox,Echo Fox,,,68,1.57,1.06,60,1,94.2,34.2,
2018/09/15,365,FBaron,Clutch,Echo Fox,Echo Fox,,,68,1.5,1.02,70,1,105,35,
2018/09/15,365,FBaron,Clutch,Echo Fox,Echo Fox,,,68,1.5,1.02,70,1,105,35,
2018/09/15,365,FBaron,Clutch,Echo Fox,Echo Fox,,,68,1.5,1.02,70,1,105,35,
2018/09/15,365,> 1.5 inhib,Clutch,Echo Fox,,,,,1.4,,10,1,14,4,
2018/09/15,365,> 1.5 inhib,Clutch,Echo Fox,,,,,1.4,,10,1,14,4,
2018/09/15,365,> 1.5 inhib,Clutch,Echo Fox,,,,,1.4,,10,1,14,4,
2018/09/15,365,FT,Detonation FM,Unsold Stuff,Detonation FM,,,70,1.57,1.1,100,1,157,57,
2018/09/15,365,FT,Detonation FM,Unsold Stuff,Detonation FM,,,70,1.57,1.1,100,1,157,57,
2018/09/15,365,FT,Detonation FM,Unsold Stuff,Detonation FM,,,70,1.57,1.1,100,1,157,57,
2018/09/15,365,FB,Splyce,G2,Splyce,,,55,2,1.1,50,1,100,50,
2018/09/15,365,FB,Splyce,G2,Splyce,,,55,2,1.1,50,1,100,50,
2018/09/15,365,FB,Splyce,G2,Splyce,,,55,2,1.1,50,0,0,-50,
2018/09/16,365,FDrag,Splyce,G2,Splyce,,,70,1.9,1.3,50,1,95,45,
2018/09/16,365,FDrag,Splyce,G2,Splyce,,,70,1.9,1.3,50,0,0,-50,
2018/09/16,365,FDrag,Splyce,G2,Splyce,,,70,1.9,1.3,50,1,95,45,
2018/09/16,365,FT,Echo Fox,TSM,Echo Fox,,,75,1.9,1.42,150,0,0,-150,
2018/09/16,365,FT,Echo Fox,TSM,Echo Fox,,,75,1.9,1.42,150,0,0,-150,
2018/09/16,365,FT,Echo Fox,TSM,Echo Fox,,,75,1.9,1.42,150,0,0,-150,
2018/09/16,365,< 23.5 kills,Echo Fox,TSM,,,,61,1.83,1.11,50,0,0,-50,
2018/09/16,365,< 23.5 kills,Echo Fox,TSM,,,,61,1.83,1.11,50,0,0,-50,
2018/09/16,365,< 23.5 kills,Echo Fox,TSM,,,,61,1.83,1.11,50,0,0,-50,
2018/09/16,365,< 3.5 Drag,Edward,Rogue,n/a,,,85,2.2,1.87,40,0,0,-40,
2018/09/16,365,< 3.5 Drag,Edward,Rogue,n/a,,,85,2.2,1.87,40,1,88,48,
2018/09/16,365,< 3.5 Drag,Edward,Rogue,n/a,,,85,2.2,1.87,40,0,0,-40,
2018/08/16,365,FT,Supermassive,Royal Badnits,Supermassive,,,70,1.9,1.33,100,0,0,-100,
2018/08/16,365,FT,Supermassive,Royal Badnits,Supermassive,,,70,1.9,1.33,100,0,0,-100,
2018/08/16,365,FT,Supermassive,Royal Badnits,Supermassive,,,70,1.9,1.33,100,0,0,-100,
,,,,,,,,0,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,0,
,,,,,,,,0,0,0,0,0,0,0,
,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,0,0,
,,,,,,,,,,,,,0,0,
